absolute_path_for_preview,allowed_surfaces,blocked_surfaces,budget,bytes,conditional_surfaces,extension,family_id,family_label,filename,height,index,mapping_used,normalization_confidence,normalization_reason,normalized_family_id,normalized_family_label,notes,original_family_id,original_family_label,original_filename,preview_relative,recommended_surfaces_from_mapping,relative_path,role_from_mapping,sha256,width
,chart_lab|marketing_reference,tablet_productive|pos_checkout|dense_tables,"decorative/showcase, sparingly",2808201,control_center_showcase,.jpg,warm_showcase_mountain,Warm Showcase Mountain,unsplash_ref_11_fabrice-villard-tkoA1sWwHUg-unsplash.jpg,6000,11,True,78,heuristic_warm_showcase,warm_showcase_mountain,Warm Showcase Mountain,"Golden fog, beautiful but warmer than core",warm_fog_showcase,External Review,fabrice-villard-tkoA1sWwHUg-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_11_fabrice-villard-tkoA1sWwHUg-unsplash.jpg,"Chart Lab, Control Center conditional",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_11_fabrice-villard-tkoA1sWwHUg-unsplash.jpg,Decorative/conditional,fb952060a754c81e6f5ebab35ca0c64e374968b426f4c4602f867155d754de22,4000
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,2145664,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_12_farhan-nsrdn-uyvK8hrKex8-unsplash.jpg,4000,12,True,92,heuristic_light_tablet,tablet_light_soft,Tablet Light Soft,"Soft pastel clouds, great light-first mood",tablet_light_clouds,External Review,farhan-nsrdn-uyvK8hrKex8-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_12_farhan-nsrdn-uyvK8hrKex8-unsplash.jpg,"Tablet, Mobile, Web/EIT",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_12_farhan-nsrdn-uyvK8hrKex8-unsplash.jpg,Atmosphere background,3b1b8c65ca8d2836234e33b2cdabd5dfaef23319f24f7ce58755adac004af3f4,6000
,control_center|chart_lab|visual_os,tablet_productive|pos_checkout|web_eit_public,showcase/reference only; never default productive,14161122,pc_reference,.jpg,visual_os_celestial,Visual OS Celestial,unsplash_ref_13_florian-schindler-EYj2rSMGnU0-unsplash.jpg,8192,13,True,100,explicit_alias:visual_os_night,visual_os_celestial,Visual OS Celestial,"Night sky forest, premium showpiece",visual_os_night,External Review,florian-schindler-EYj2rSMGnU0-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_13_florian-schindler-EYj2rSMGnU0-unsplash.jpg,"Control Center, Visual OS, Chart Lab",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_13_florian-schindler-EYj2rSMGnU0-unsplash.jpg,Conditional/showcase atmosphere,73fc35508e007f763383f79f6b74ed5873420ae438791627058aca73ca1ad360,5464
,pc|control_center,tablet_productive|pos_checkout,premium calm executive background,17139980,chart_lab|pc_reference,.jpg,alpine_graphite_hero,Alpine Graphite Hero,unsplash_ref_14_intricate-explorer-gjI-YoxuFys-unsplash.jpg,5361,14,True,100,explicit_alias:alpine_graphite_hero,alpine_graphite_hero,Alpine Graphite Hero,"Premium calm, executive lake/mountain, good for PC hero or Control Center baseline",alpine_graphite_hero,Alpine Graphite Hero,intricate-explorer-gjI-YoxuFys-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_14_intricate-explorer-gjI-YoxuFys-unsplash.jpg,"PC, Control Center",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_14_intricate-explorer-gjI-YoxuFys-unsplash.jpg,Atmosphere background,7fa0d760b54ed63f910accf237f07e0f526406b20506175873fd575c790bd826,8766
,,all_background_use,not direct UI atmosphere,5126038,manual_review_only,.jpg,subject_photo_blocked,Subject Photo Blocked,unsplash_ref_15_kate-kasiutich-xnWP566J7gI-unsplash.jpg,6000,15,True,98,subject_block,subject_photo_blocked,Subject Photo Blocked,"Bamboo subject, can be too thematic",decorative_green_forest,External Review,kate-kasiutich-xnWP566J7gI-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_15_kate-kasiutich-xnWP566J7gI-unsplash.jpg,"Web/EIT, landing/reference",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_15_kate-kasiutich-xnWP566J7gI-unsplash.jpg,Decorative/conditional,5e25cfc8bd6422f1f8575b4b464fcef1c328d5239f8301699a4aa3c4670d4b86,4000
,chart_lab|marketing_reference,tablet_productive|pos_checkout|dense_tables,"decorative/showcase, sparingly",3419016,control_center_showcase,.jpg,warm_showcase_mountain,Warm Showcase Mountain,unsplash_ref_16_katie-mukhina-XwTdNWEzoR8-unsplash.jpg,6016,16,True,100,explicit_alias:warm_showcase_mountain,warm_showcase_mountain,Warm Showcase Mountain,"Warm cinematic, use sparingly",warm_showcase_mountain,Warm Showcase Mountain,katie-mukhina-XwTdNWEzoR8-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_16_katie-mukhina-XwTdNWEzoR8-unsplash.jpg,"Chart Lab, marketing/reference",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_16_katie-mukhina-XwTdNWEzoR8-unsplash.jpg,Decorative/showcase,d7a7947f98b1e285b2448bfeb0b8671cbd4461b242e5023d5768608117c6662e,4016
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,7860819,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_17_kristaps-ungurs-2BEOFe8wwyw-unsplash.jpg,8256,17,True,92,heuristic_light_tablet,tablet_light_soft,Tablet Light Soft,"Bright snow/forest, nice with scrim",tablet_light_snow_forest,External Review,kristaps-ungurs-2BEOFe8wwyw-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_17_kristaps-ungurs-2BEOFe8wwyw-unsplash.jpg,"Tablet, Mobile",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_17_kristaps-ungurs-2BEOFe8wwyw-unsplash.jpg,Atmosphere background,e92c293204dc14902b37a52f2e0b9299eeba534695f346f95faea94a92b363f6,5504
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,15098907,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_18_kristaps-ungurs-8TFBu1SBrn4-unsplash.jpg,8256,18,True,92,heuristic_light_tablet,tablet_light_soft,Tablet Light Soft,"Very minimal pale sky, strongest POS-gate candidate",tablet_light_minimal_sky,External Review,kristaps-ungurs-8TFBu1SBrn4-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_18_kristaps-ungurs-8TFBu1SBrn4-unsplash.jpg,"Tablet, Web/EIT, POS gate",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_18_kristaps-ungurs-8TFBu1SBrn4-unsplash.jpg,Atmosphere background,f0c875dd1e4231634033ae4102091b7b238923f8337117015eac3b6972bb6493,5504
,web_eit_public|tablet_productive|settings,pos_checkout_without_gate,light/sober material reference,2131434,control_center_audit,.jpg,light_architecture_material,Light Architecture Material,unsplash_ref_19_laura-adai-E5ApkrnucMg-unsplash.jpg,5314,19,True,100,explicit_alias:light_architecture_material,light_architecture_material,Light Architecture Material,"Clean columns, useful for sober/light materiality, not main atmosphere unless cropped",light_architecture_material,Light Architecture Material,laura-adai-E5ApkrnucMg-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_19_laura-adai-E5ApkrnucMg-unsplash.jpg,"Web/EIT, Tablet light, settings",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_19_laura-adai-E5ApkrnucMg-unsplash.jpg,Decorative/light material reference,bed5ed5a09d2594e68b1c22b83122d52fe6f97256dfe629a4911a7460a7781fb,3543
,chart_lab|visual_os,tablet_productive|pos_checkout|dense_tables|web_eit_public,"high wow, studio/showcase only",1287235,control_center|pc_reference,.jpg,liquid_teal_vapor,Liquid Teal Vapor,unsplash_ref_20_leon-rohrwild-5APKpFvda8I-unsplash.jpg,3543,20,True,100,explicit_alias:liquid_teal_vapor,liquid_teal_vapor,Liquid Teal Vapor,"Aquatic wave/vapor, high wow, not POS/Tablet default",liquid_teal_vapor,Liquid Teal Vapor,leon-rohrwild-5APKpFvda8I-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_20_leon-rohrwild-5APKpFvda8I-unsplash.jpg,"Chart Lab, Visual OS",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_20_leon-rohrwild-5APKpFvda8I-unsplash.jpg,Conditional atmosphere,28703759c5a9f35e7b4da28369f71a628d0ddbcfe5acd1da8c94ae9d11cebf9f,2657
,chart_lab|visual_os,tablet_productive|pos_checkout|dense_tables|web_eit_public,"high wow, studio/showcase only",1287060,control_center|pc_reference,.jpg,liquid_teal_vapor,Liquid Teal Vapor,unsplash_ref_21_leon-rohrwild-MxcwgJGO-Us-unsplash.jpg,3496,21,True,100,explicit_alias:liquid_teal_vapor,liquid_teal_vapor,Liquid Teal Vapor,"Teal underwater wave/clouds, high motion potential",liquid_teal_vapor,Liquid Teal Vapor,leon-rohrwild-MxcwgJGO-Us-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_21_leon-rohrwild-MxcwgJGO-Us-unsplash.jpg,"Chart Lab, Visual OS",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_21_leon-rohrwild-MxcwgJGO-Us-unsplash.jpg,Conditional atmosphere,740b1635f4b77e1ba5ba237ac08c8710a8e0b9b7e760fd00070f9952357afefb,2622
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,4566684,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_22_marco-grosso-ABGHh9toXUE-unsplash.jpg,6002,22,True,92,heuristic_light_tablet,tablet_light_soft,Tablet Light Soft,"Dark mountain light, premium executive",storm_graphite_landscape,External Review,marco-grosso-ABGHh9toXUE-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_22_marco-grosso-ABGHh9toXUE-unsplash.jpg,"Control Center, PC, Chart Lab",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_22_marco-grosso-ABGHh9toXUE-unsplash.jpg,Atmosphere background,c6f829d3a2d87cd9f6f73fc482b0059c498430bc684fd7d1ff3b7d1c7daf76cb,9026
,control_center|chart_lab|visual_os,tablet_productive|pos_checkout|web_eit_public,showcase/reference only; never default productive,5754144,pc_reference,.jpg,visual_os_celestial,Visual OS Celestial,unsplash_ref_23_marek-piwnicki-ktllNfb9cBs-unsplash.jpg,3648,23,True,100,explicit_alias:visual_os_celestial,visual_os_celestial,Visual OS Celestial,"Night mountains/comet, premium but not dense UI default",visual_os_celestial,Visual OS Celestial,marek-piwnicki-ktllNfb9cBs-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_23_marek-piwnicki-ktllNfb9cBs-unsplash.jpg,"Control Center, Chart Lab, Visual OS",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_23_marek-piwnicki-ktllNfb9cBs-unsplash.jpg,Conditional/showcase atmosphere,782bc811966203fca1c06ff9118c81493eab171037b156e61b465444e1c3f52a,5472
,mobile|web_eit_public,pos_checkout_without_gate,"low-noise, battery-friendly, audit-safe",7388837,tablet_productive|control_center_audit,.jpg,mobile_thin_mist,Mobile Thin Mist,unsplash_ref_24_pascal-debrunner-8xkImX3so8U-unsplash.jpg,5152,24,True,90,heuristic_thin_mist,mobile_thin_mist,Mobile Thin Mist,"Dark foggy forest, audit vault mood",storm_forest_vault,External Review,pascal-debrunner-8xkImX3so8U-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_24_pascal-debrunner-8xkImX3so8U-unsplash.jpg,"Control Center, Visual OS",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_24_pascal-debrunner-8xkImX3so8U-unsplash.jpg,Atmosphere background,f28148f1876d1278c222d8ac39b0654ab6f205a84f00d9862810aa44ccda567c,7728
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,2909254,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_25_pascal-debrunner-ob8DTqyLzME-unsplash.jpg,6000,25,True,92,heuristic_light_tablet,tablet_light_soft,Tablet Light Soft,"Single tree/snow, calm light",tablet_light_snow_minimal,External Review,pascal-debrunner-ob8DTqyLzME-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_25_pascal-debrunner-ob8DTqyLzME-unsplash.jpg,"Tablet, Mobile",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_25_pascal-debrunner-ob8DTqyLzME-unsplash.jpg,Atmosphere background,24b527ea560822467b5cfb55774c436dc291edbb9346a73adc72b70950e8cc79,4000
,control_center|chart_lab|visual_os,tablet_productive|pos_checkout|web_eit_public,showcase/reference only; never default productive,12568053,pc_reference,.jpg,visual_os_celestial,Visual OS Celestial,unsplash_ref_26_philipp-dusel-2F-m1FvoJT4-unsplash.jpg,4964,26,True,88,heuristic_celestial,visual_os_celestial,Visual OS Celestial,"Aurora/night, high wow, route gated",aurora_showcase,External Review,philipp-dusel-2F-m1FvoJT4-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_26_philipp-dusel-2F-m1FvoJT4-unsplash.jpg,"Control Center, Visual OS, Chart Lab",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_26_philipp-dusel-2F-m1FvoJT4-unsplash.jpg,Conditional/showcase atmosphere,c1c2b99dc7bef605ad66b1e9dd3e23cb86d51dd26bbef576b003d68e9b6bea77,7446
,mobile|web_eit_public,pos_checkout_without_gate,"low-noise, battery-friendly, audit-safe",2329452,tablet_productive|control_center_audit,.jpg,mobile_thin_mist,Mobile Thin Mist,unsplash_ref_27_roberto-shumski-0bzBsIuwOoM-unsplash.jpg,3089,27,True,100,explicit_alias:audit_quiet_vault,mobile_thin_mist,Mobile Thin Mist,"Fog/mountain, subdued and readable",audit_quiet_vault,External Review,roberto-shumski-0bzBsIuwOoM-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_27_roberto-shumski-0bzBsIuwOoM-unsplash.jpg,"Control Center, Mobile",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_27_roberto-shumski-0bzBsIuwOoM-unsplash.jpg,Atmosphere background,912baca04fffbdd4fb592e52725ed705f88cf3de8a0ee322f4f5959ef715837b,2048
,tablet_productive|mobile|web_eit_public,pc_dark_showcase_default,light-first low-noise background,8247859,pos_checkout,.jpg,tablet_light_soft,Tablet Light Soft,unsplash_ref_28_roberto-shumski-VJ5k8_oYl_4-unsplash.jpg,7008,28,True,92,heuristic_light_tablet,tablet_light_soft,Tablet Light Soft,"Foggy forest, low-noise if scrimmed",thin_mist_forest,External Review,roberto-shumski-VJ5k8_oYl_4-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_28_roberto-shumski-VJ5k8_oYl_4-unsplash.jpg,"Mobile, Tablet, Web/EIT",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_28_roberto-shumski-VJ5k8_oYl_4-unsplash.jpg,Atmosphere background,12dee26871af9c59a6c6a88ad4ab46552978f4e8eb8825ad835e944f528b6949,4672
,control_center|chart_lab|pc_reference,tablet_productive|pos_checkout|web_eit_public,premium dark governance/storm mood; strong scrim required,3330462,visual_os,.jpg,storm_graphite_vault,Storm Graphite Vault,unsplash_ref_29_simon-spring-zmMrlEHsFQY-unsplash.jpg,4715,29,True,100,explicit_alias:storm_graphite_motion,storm_graphite_vault,Storm Graphite Vault,"Stormy blue mountain, dramatic",storm_graphite_motion,External Review,simon-spring-zmMrlEHsFQY-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_29_simon-spring-zmMrlEHsFQY-unsplash.jpg,"Control Center, Chart Lab",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_29_simon-spring-zmMrlEHsFQY-unsplash.jpg,Conditional atmosphere,43b4772634d0348bf09cce49f90f0614e8dc80c63bd408bb3d8eaaeb24d79006,3283
,control_center|chart_lab|pc_reference,tablet_productive|pos_checkout|web_eit_public,premium dark governance/storm mood; strong scrim required,4087597,visual_os,.jpg,storm_graphite_vault,Storm Graphite Vault,unsplash_ref_30_venti-views-7wL-HlNfi4Y-unsplash.jpg,4672,30,True,100,explicit_alias:storm_graphite_vault,storm_graphite_vault,Storm Graphite Vault,"Dark rocks/fog, strong governance/storm mood",storm_graphite_vault,Storm Graphite Vault,venti-views-7wL-HlNfi4Y-unsplash.jpg,../assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_30_venti-views-7wL-HlNfi4Y-unsplash.jpg,"Control Center, Chart Lab, PC reference",tools/prisma-surface-visual-governor/assets/external-reference-atmospheres/unsplash-intricate-explorer/unsplash_ref_30_venti-views-7wL-HlNfi4Y-unsplash.jpg,Atmosphere background,e910b06d4e073ee74b98d8c8ddc20cc161418a89c1c6dc3c746eac7f29a3053b,7008
