allowed_surfaces,blocked_surfaces,bytes,extension,family_id,family_label,filename,notes,relative_path,sha256
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/mobile/app/public/surface-visual-governor/mobile-thin-mist-shell/pilot-09/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/pc/app/public/surface-visual-governor/dashboard/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/pc/app/public/surface-visual-governor/dashboard/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/pc/app/public/surface-visual-governor/dashboard/pilot-04/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/pc/app/public/surface-visual-governor/dashboard/pilot-04/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/pc/app/public/surface-visual-governor/reference-visual/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/pc/app/public/surface-visual-governor/reference-visual/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/pc/app/public/surface-visual-governor/reference-visual/pilot-03/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/pc/app/public/surface-visual-governor/reference-visual/pilot-03/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,1843731,.png,liquid_vapor_reference,Liquid / Vapor Reference,blanqueador-liquido-hogar-1l.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/products/packshots/dark/blanqueador-liquido-hogar-1l.png,6fabaed4fbc7ab8d5358b979a04880387c4c4192247d16a00f9a50496867b735
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,1926307,.png,liquid_vapor_reference,Liquid / Vapor Reference,lavatrastes-liquido-750ml.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/products/packshots/dark/lavatrastes-liquido-750ml.png,31128ed9d097ddd20862e1a097167cfe8289b3ec76a110db0c5e8f109e70a489
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2004004,.png,liquid_vapor_reference,Liquid / Vapor Reference,leche-evaporada-387g.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: vapor,products/tablet/app/public/products/packshots/dark/leche-evaporada-387g.png,0e00d865a0c4f288a5967a510e9fbcf3d99730cc029754214900fa0786753876
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,1612782,.png,liquid_vapor_reference,Liquid / Vapor Reference,blanqueador-liquido-hogar-1l.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/products/packshots/light/blanqueador-liquido-hogar-1l.png,48ba7daa572eec0530db9b05ed05a7dc76c37c70aa01ae80fb790238e550a157
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,1712770,.png,liquid_vapor_reference,Liquid / Vapor Reference,lavatrastes-liquido-concentrado-750ml.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/products/packshots/light/lavatrastes-liquido-concentrado-750ml.png,0dc7d1d70ddb52d81f18be474e7112ee75390d1392cf28d5c878ca6aa3f5e10e
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,1916676,.png,liquid_vapor_reference,Liquid / Vapor Reference,leche-evaporada-387g.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: vapor,products/tablet/app/public/products/packshots/light/leche-evaporada-387g.png,bd33ba0c0495df3f86019301f791b20ad5a574f490e261cd5054a912a1493881
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/tablet/app/public/surface-visual-governor/checkout-light-safe-shell/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/surface-visual-governor/checkout-light-safe-shell/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/tablet/app/public/surface-visual-governor/checkout-light-safe-shell/pilot-08/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/surface-visual-governor/checkout-light-safe-shell/pilot-08/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/tablet/app/public/surface-visual-governor/pos-light-safe-shell/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/surface-visual-governor/pos-light-safe-shell/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/tablet/app/public/surface-visual-governor/pos-light-safe-shell/pilot-07/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/surface-visual-governor/pos-light-safe-shell/pilot-07/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/tablet/app/public/surface-visual-governor/tablet-light-shell/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/surface-visual-governor/tablet-light-shell/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/tablet/app/public/surface-visual-governor/tablet-light-shell/pilot-05/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/surface-visual-governor/tablet-light-shell/pilot-05/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",products/tablet/app/public/visual-os/tablet-light-visual-preset-engine/assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,products/tablet/app/public/visual-os/tablet-light-visual-preset-engine/assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2360,.svg,liquid_vapor_reference,Liquid / Vapor Reference,visual-smoke-test.expected.svg,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: smoke,products/tablet/app/public/visual-os/tablet-light-visual-preset-engine/visual-smoke-test.expected.svg,9855ea1c013b351f52526d4735924a7131a1e655f263d1ad4a934ee34a17c989
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/chart-lab/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,tools/prisma-surface-visual-governor/public-mirrors/chart-lab/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/mobile/mobile-thin-mist-shell/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/mobile/mobile-thin-mist-shell/pilot-09/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/pc/dashboard/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,tools/prisma-surface-visual-governor/public-mirrors/pc/dashboard/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/pc/dashboard/pilot-04/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,tools/prisma-surface-visual-governor/public-mirrors/pc/dashboard/pilot-04/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/pc/reference-visual/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,tools/prisma-surface-visual-governor/public-mirrors/pc/reference-visual/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/pc/reference-visual/pilot-03/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,tools/prisma-surface-visual-governor/public-mirrors/pc/reference-visual/pilot-03/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/tablet/checkout-light-safe-shell/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,tools/prisma-surface-visual-governor/public-mirrors/tablet/checkout-light-safe-shell/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/tablet/checkout-light-safe-shell/pilot-08/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,tools/prisma-surface-visual-governor/public-mirrors/tablet/checkout-light-safe-shell/pilot-08/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2520,.svg,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-smoke.svg,"Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid, smoke",tools/prisma-surface-visual-governor/public-mirrors/tablet/pos-light-safe-shell/latest/atmosphere-assets/backgrounds/liquid-operations-smoke.svg,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
chart_lab|control_center_separate|control_center_embedded|visual_os|pc_reference,tablet_productive|pos_checkout|checkout|dense_tables,2918510,.png,liquid_vapor_reference,Liquid / Vapor Reference,liquid-operations-ui-reference.png,Familia wow con humo/líquido. Entra con route budget y bozal. Hits: liquid,tools/prisma-surface-visual-governor/public-mirrors/tablet/pos-light-safe-shell/latest/atmosphere-assets/backgrounds/liquid-operations-ui-reference.png,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
