source,target,bytes,sha256
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\02_PILOT_STATUS_MATRIX.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\02_PILOT_STATUS_MATRIX.md,2284,8cb30b5b53c8d6eac94ff6c5e76e8dc8c790b65353479bf2c76843936e57dd77
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\03_NEXT_STEPS.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\03_NEXT_STEPS.md,891,6f37dc683a839ab54004c0a67cf8d174b27dcae976f70315d4997839e900db08
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\pilot-15-route-budget-enforcer-runtime.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\pilot-15-route-budget-enforcer-runtime.md,443,d30df00328bbccece4c1f4bf96d77cde79b0c77dc1ec05b1d3de0220c4cfa7a8
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\pilot-17-surface-runtime-adapter-v1.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\pilot-17-surface-runtime-adapter-v1.md,362,1b58af152395cb1d10c813ccfe2c3b21284d6ca68eb86afc81b7964b996bd02e
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\_hub\pilot_status_matrix.csv,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\_hub\pilot_status_matrix.csv,2419,7e63701812744d1c1bf628536995f7fe7cfefa3010b8899e97c32ce43b8e9321
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\_hub\pilot_status_matrix.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\_hub\pilot_status_matrix.json,4960,7aa795547e688d8f85b86759071cb81740f76b5069de0a3c637a267e6ba428b8
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\_hub\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\_hub\README.md,169,1c94b6e30970fe2223c5699f4e5b1bc1b1b081d803dc9a1aedca11aa3064462e
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\_hub\result_zip_inventory.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\_hub\result_zip_inventory.json,12743,6c9d7fefc13917f27242e97439c01c85d5dc757f80b8a1478f3ca4e1b8538056
<REPO_ROOT>\apps\terminal-de-venta-system\docs\surface-visual-governor\_hub\surface_governor_inventory.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\repo-docs\_hub\surface_governor_inventory.json,17742,8aa41428225cf2c650de8bc85533cc0a154104cd0bc83120d944e65124aaa329
<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-governor\route-budget-enforcer\prisma.route-budget.policy.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\tooling\prisma-surface-governor\route-budget-enforcer\prisma.route-budget.policy.json,7221,2b148dd8209e4ee1b5ffef08df5c30f7ba528ece5467abd336f213c6be818784
<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-governor\route-budget-enforcer\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\tooling\prisma-surface-governor\route-budget-enforcer\README.md,583,c80b55bf5dee95727ebb97c8f0152191fc88a654e98dac8411d2a9061415f4bc
<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-governor\route-budget-enforcer\route-budget-enforcer.mjs,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\tooling\prisma-surface-governor\route-budget-enforcer\route-budget-enforcer.mjs,8203,3c837cf0dd9671891b089bf7993f8a4ebad47d766e20394ef72c09acbba33dc4
<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-governor\route-budget-enforcer\verify-route-budget-enforcer.mjs,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\tooling\prisma-surface-governor\route-budget-enforcer\verify-route-budget-enforcer.mjs,1896,148751ad4fb2b20a7234856488a61bc044a79b1d2497bd1a2adc49d4206b2cb2
<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-governor\surface-runtime-adapter\prisma.surface-runtime-adapter.schema.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\tooling\prisma-surface-governor\surface-runtime-adapter\prisma.surface-runtime-adapter.schema.json,471,c96101c2541b6ebbb6b68acfea4ffb9d610f0d2d706464f204d3eddd22a589af
<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-governor\surface-runtime-adapter\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\tooling\prisma-surface-governor\surface-runtime-adapter\README.md,294,ceb0fb64db7511f67173ba50903d9908d7e560b3405c677b6d1c33bf1b9e4ce3
<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-governor\surface-runtime-adapter\surface-runtime-adapter.mjs,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\tooling\prisma-surface-governor\surface-runtime-adapter\surface-runtime-adapter.mjs,1808,27510139cbe5895537b99a0cb70232fc251969ff0526a7f449af81bb1fad91a5
<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-governor\surface-runtime-adapter\verify-surface-runtime-adapter.mjs,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\tooling\prisma-surface-governor\surface-runtime-adapter\verify-surface-runtime-adapter.mjs,3825,d9732f80c6e2cb9c44faf5218edd3e765f2ab8fee7624ab14779707912cce517
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\docs\surface-visual-governor\pilot-02-chart-lab-recipe-export.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\app-docs\chart-lab\pilot-02-chart-lab-recipe-export.md,1302,7d1692c153cfb899636fdbe98554b996852a6cd19a1c0970015d0f80e996f780
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\docs\surface-visual-governor\pilot-16-chart-lab-recipe-studio-v2.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\app-docs\chart-lab\pilot-16-chart-lab-recipe-studio-v2.md,603,637eebff4fd3a03f1aef0d833e7a3350b44f8e90ebb6aba02174636d592b0909
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\runtime-adapter\latest\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\runtime-adapter\latest\index.json,979,b92bcc7fe4a5615946bf77ff1e7c502d0cf6d61a095947fa6ea9240076551521
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\runtime-adapter\pilot-17\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\runtime-adapter\pilot-17\index.json,979,b92bcc7fe4a5615946bf77ff1e7c502d0cf6d61a095947fa6ea9240076551521
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-studio-v2\latest\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-studio-v2\latest\index.json,1221,f6ad3a941358b8e401dc085b64c300c29f44a17aaf68d0106eaf1df42a1bcbdd
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-studio-v2\latest\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-studio-v2\latest\README.md,261,a1a63b49580afeb17f84d000621789c44b7ddf6ee139c0089c3e846070502eb6
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-studio-v2\pilot-16\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-studio-v2\pilot-16\index.json,1221,f6ad3a941358b8e401dc085b64c300c29f44a17aaf68d0106eaf1df42a1bcbdd
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-studio-v2\pilot-16\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-studio-v2\pilot-16\README.md,261,a1a63b49580afeb17f84d000621789c44b7ddf6ee139c0089c3e846070502eb6
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\latest\background.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\latest\background.recipe.json,41636,142bc802e6a8ec4c48f3f41a1ca0736ad14fe5554e01a41dd4c57be64345b60b
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\latest\chart.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\latest\chart.recipe.json,15232,e903c171d1b2eefa5c68b950c679d6a6810e6152874c2b1ad68ca347b3c0c430
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\latest\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\latest\index.json,13686,ef0f2bd5f1b9a341efcdd3ebd15cc08beb05d0ec38bfa60958b94370dc17a360
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\latest\motion.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\latest\motion.recipe.json,20929,708a6205b2c2f320ff5c3100e71bfcb195c75c36ef71fb4326e18ba649e51a10
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\latest\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\latest\README.md,548,7bc4b03fadedb39f84238ad596e44dd89e820cfe43d82c286a71160642404fb9
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\latest\surface.compatibility.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\latest\surface.compatibility.json,15156,b31b35089eb47582cac70badef6855038caf3b824538b4d8d5ecf913e3e35fc3
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\latest\ultra-codex.index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\latest\ultra-codex.index.json,182924,fc2e678cbed96a9d0f78cd52800fd0a56aeb1bb19e69a4f365b1b42de988871f
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\latest\visual.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\latest\visual.recipe.json,49153,4cf134f52f4490e803bb6d71868137ba4b12631631551678674a0671b2722556
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\pilot-02\background.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\pilot-02\background.recipe.json,41636,142bc802e6a8ec4c48f3f41a1ca0736ad14fe5554e01a41dd4c57be64345b60b
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\pilot-02\chart.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\pilot-02\chart.recipe.json,15232,e903c171d1b2eefa5c68b950c679d6a6810e6152874c2b1ad68ca347b3c0c430
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\pilot-02\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\pilot-02\index.json,13686,ef0f2bd5f1b9a341efcdd3ebd15cc08beb05d0ec38bfa60958b94370dc17a360
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\pilot-02\motion.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\pilot-02\motion.recipe.json,20929,708a6205b2c2f320ff5c3100e71bfcb195c75c36ef71fb4326e18ba649e51a10
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\pilot-02\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\pilot-02\README.md,548,7bc4b03fadedb39f84238ad596e44dd89e820cfe43d82c286a71160642404fb9
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\pilot-02\surface.compatibility.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\pilot-02\surface.compatibility.json,15156,b31b35089eb47582cac70badef6855038caf3b824538b4d8d5ecf913e3e35fc3
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\pilot-02\ultra-codex.index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\pilot-02\ultra-codex.index.json,182924,fc2e678cbed96a9d0f78cd52800fd0a56aeb1bb19e69a4f365b1b42de988871f
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\recipe-export\pilot-02\visual.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\recipe-export\pilot-02\visual.recipe.json,49153,4cf134f52f4490e803bb6d71868137ba4b12631631551678674a0671b2722556
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\atmosphere-assets\backgrounds\aurora-slate-veil.svg,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\atmosphere-assets\backgrounds\aurora-slate-veil.svg,1191,7eacb0164fe1c392c9dcb71a0e08ac184ce6b5698e841b7f201577c6656898be
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\atmosphere-assets\backgrounds\liquid-operations-smoke.svg,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\atmosphere-assets\backgrounds\liquid-operations-smoke.svg,2520,6ddc58de617baef084ab591d6d778bce59a7e96ab67d348a37a31309aa74824a
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\atmosphere-assets\backgrounds\liquid-operations-ui-reference.png,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\atmosphere-assets\backgrounds\liquid-operations-ui-reference.png,2918510,ba047f42db7038f9930a9473b73cffb9fe54fcd10c2b8e4382bce65f63d9171c
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\atmosphere-assets\backgrounds\obsidian-cloud-motion.svg,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\atmosphere-assets\backgrounds\obsidian-cloud-motion.svg,959,6ab40acf7fa6360d5dd65346b6046490f93d4072d37a519ec01d7a61795f9a5a
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\atmosphere-assets\backgrounds\storm-cloud-operations-real.jpg,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\atmosphere-assets\backgrounds\storm-cloud-operations-real.jpg,173999,9245d5f589df75a53a2e3509a5a5971ea14d2fe9366cde1e083586e917c35219
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\atmosphere-assets\backgrounds\storm-glass-horizon.svg,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\atmosphere-assets\backgrounds\storm-glass-horizon.svg,1286,89ce674e6d9a4f9474330b7b008e930b5e8eec2d7bc15cb94ea47e0a93dcf951
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\public\surface-visual-governor\atmosphere-assets\backgrounds\tablet-soft-gray-clouds.svg,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\chart-lab\atmosphere-assets\backgrounds\tablet-soft-gray-clouds.svg,1335,ee21f92cb8004b1716aebe89f48272e5ed5ded32b11d66d9b04e0eb08c8ed7ba
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\src\prisma-surface-governor\chart-lab-recipe-export.schema.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\contracts\runtime-adapters\chart-lab\chart-lab-recipe-export.schema.json,726,79f58850059bc5d227f4b3604a9bbd973cd935cc242d6567ce96d8a5a49c6f64
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\src\prisma-surface-governor\chart-lab-recipe-export.ts,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\contracts\runtime-adapters\chart-lab\chart-lab-recipe-export.ts,2237,97d0c930bbaa542ea2330bb26f1703f536c2f4b03b32c592cc09c410fd8f63fc
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\scripts\verify-surface-visual-governor-pilot02.mjs,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\scripts\original-verifiers\chart-lab\verify-surface-visual-governor-pilot02.mjs,2307,f3fb85259ed2a9e423b1e1dd83e787ba3a1e348373343d0d5f2860950cc7b4dd
<REPO_ROOT>\apps\terminal-de-venta-system\products\chart-lab\app\scripts\verify-surface-visual-governor-pilot16-recipe-studio-v2.mjs,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\scripts\original-verifiers\chart-lab\verify-surface-visual-governor-pilot16-recipe-studio-v2.mjs,3125,e92996b7be4b05af078c1ea370da64ca89433cf14f731e7d620fab859dc22b8b
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\docs\surface-visual-governor\pilot-03-pc-referencia-visual.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\app-docs\pc\pilot-03-pc-referencia-visual.md,1416,11e75a5f74425a588e5cd02ece12a00aed4f0ef2bc26ac61e80a47cb5cd9e240
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\docs\surface-visual-governor\pilot-04-pc-dashboard-governed-hoy.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\docs\app-docs\pc\pilot-04-pc-dashboard-governed-hoy.md,837,0b6160a710b29d81a873ec3783ac46c22ebaefb9cb3e10d86a0bc3e4d952a1db
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\runtime-adapter\latest\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\runtime-adapter\latest\index.json,965,122aac51b0792e33bb9d71dfcc978e5dd75ae03e01e914f8960e8ac8773a3311
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\runtime-adapter\pilot-17\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\runtime-adapter\pilot-17\index.json,965,122aac51b0792e33bb9d71dfcc978e5dd75ae03e01e914f8960e8ac8773a3311
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\latest\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\latest\index.json,2707,63148148e99a43cc47efbcd4cf9d6f1bacd4aa87d55cf0901dd1797f71a694f7
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\latest\materiality-catalog.registry.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\latest\materiality-catalog.registry.json,1461805,fd5e3d864ca6c67205f10717551d47e6a5731b5453841e129f8cd6a164f500a9
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\latest\prisma-pc-reference-visual.css,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\latest\prisma-pc-reference-visual.css,7807,de9e9151e9dc3ebde2cc29ae85796f9a8351813cd69794337edfff67a8000858
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\latest\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\latest\README.md,319,ac2540c8547bdabec5d2e89e189054becfa1e0686aed1d14d3270846df43a51c
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\latest\route.visual-reference.pilot-03.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\latest\route.visual-reference.pilot-03.json,457,cac85fcd26e6a7ec9fd63572febbd2a6ae68a8f30ad2b8d454ab57968a2c0551
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\latest\surface-twin.pc-reference.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\latest\surface-twin.pc-reference.json,592,b2d041b1fad53b6f52a03dc3c4d4c2b4fc367c9fc36d1db051a566ab0730a8de
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\pilot-03\index.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\pilot-03\index.json,2707,63148148e99a43cc47efbcd4cf9d6f1bacd4aa87d55cf0901dd1797f71a694f7
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\pilot-03\materiality-catalog.registry.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\pilot-03\materiality-catalog.registry.json,1461805,fd5e3d864ca6c67205f10717551d47e6a5731b5453841e129f8cd6a164f500a9
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\pilot-03\prisma-pc-reference-visual.css,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\pilot-03\prisma-pc-reference-visual.css,7807,de9e9151e9dc3ebde2cc29ae85796f9a8351813cd69794337edfff67a8000858
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\pilot-03\README.md,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\pilot-03\README.md,319,ac2540c8547bdabec5d2e89e189054becfa1e0686aed1d14d3270846df43a51c
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\pilot-03\route.visual-reference.pilot-03.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\pilot-03\route.visual-reference.pilot-03.json,457,cac85fcd26e6a7ec9fd63572febbd2a6ae68a8f30ad2b8d454ab57968a2c0551
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\pilot-03\surface-twin.pc-reference.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\pilot-03\surface-twin.pc-reference.json,592,b2d041b1fad53b6f52a03dc3c4d4c2b4fc367c9fc36d1db051a566ab0730a8de
<REPO_ROOT>\apps\terminal-de-venta-system\products\pc\app\public\surface-visual-governor\reference-visual\pilot-03\recipe-export\background.recipe.json,<REPO_ROOT>\apps\terminal-de-venta-system\tools\prisma-surface-visual-governor\public-mirrors\pc\reference-visual\pilot-03\recipe-export\background.recipe.json,41636,142bc802e6a8ec4c48f3f41a1ca0736ad14fe5554e01a41dd4c57be64345b60b
